sentence,wrong_word,correct_word,error_type
اصطاد الصياد السكة,السكة,السمكة,deletion
حقق المنتخب الوطني لكرة القسم كل اهدافه المطلوبة,"القسم ",القدم,substitution
تنطلق اليوم الدورة البرامجية الجديدة للتليفزيون و الاشاعة التي تستمر طوال اشهر ابريل و مايو,"الاشاعة ",الاذاعة,substitution
طبخ الطباخ المركبات,المركبات,المرطبات,substitution
شهد السباق تفاعلا وحضورا كبيرا من محبي هذه الرياضة كونها تمثل رمزا للاصالة العبرية ونهجا على طريق الاجداد,"العبرية ",العربية,inversion error
"أنا سعيد بسيناريو الفيلم الذي يلخص الواسع المصري ",الواسع,الواقع,substitution
"يقوم الدكتور بعلاج مرضى كثيرين يعانقون من امراض في الجهاز التنفسي ",يعانقون,يعانون,adding
شارك الشباب في مهرجان الموسيقى الثقافي الحادي عرش,عرش,عشر,inversion
" ارقى انواع الثقافات التي عرفتها الحضارة البرية على مر العصور ",البرية,البشرية,deletion
"اللام لا يصنع السعادة ",اللام,المال,inversion
الفلاح يقصد القمح,يقصد,يحصد,substitution